list-card-addr,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-link href 2
"13321 102a Ave #317, Surrey, BC V3T 1P6","C$340,000",Studio,ba,1,sqft,409,,https://www.zillow.com/homedetails/13321-102a-Ave-317-Surrey-BC-V3T-1P6/2068425798_zpid/
"13880 101st Ave #703, Surrey, BC V3T 5T1","C$518,800",2,bds,2,ba,"1,077",sqft,https://www.zillow.com/homedetails/13880-101st-Ave-703-Surrey-BC-V3T-5T1/2068617928_zpid/
"7171 121st St #215, Surrey, BC V3W 1G9","C$499,900",2,bds,2,ba,"1,053",sqft,https://www.zillow.com/homedetails/7171-121st-St-215-Surrey-BC-V3W-1G9/2068635459_zpid/
"14881 103a Ave #502, Surrey, BC V3R 0M5","C$399,000",2,bds,2,ba,906,sqft,https://www.zillow.com/homedetails/14881-103a-Ave-502-Surrey-BC-V3R-0M5/2076439113_zpid/
"10188 155th St #410, Surrey, BC V3R 0R6","C$489,900",2,bds,2,ba,869,sqft,https://www.zillow.com/homedetails/10188-155th-St-410-Surrey-BC-V3R-0R6/2068425610_zpid/
"13398 104th Ave #2610, Surrey, BC V3T 1V6","C$555,000",2,bds,2,ba,758,sqft,https://www.zillow.com/homedetails/13398-104th-Ave-2610-Surrey-BC-V3T-1V6/2069561726_zpid/
"16068 83rd Ave #401, Surrey, BC V4N 0N2","C$435,000",2,bds,2,ba,"1,200",sqft,https://www.zillow.com/homedetails/16068-83rd-Ave-401-Surrey-BC-V4N-0N2/2069559286_zpid/
"13615 Fraser Hwy #3404, Surrey, BC V3T 2V6","C$747,000",2,bds,2,ba,807,sqft,https://www.zillow.com/homedetails/13615-Fraser-Hwy-3404-Surrey-BC-V3T-2V6/2068352024_zpid/
"9688 148th St #206, Surrey, BC V3R 0W2","C$499,000",2,bds,2,ba,"1,149",sqft,https://www.zillow.com/homedetails/9688-148th-St-206-Surrey-BC-V3R-0W2/2068372520_zpid/
"9983 Barnston Dr E #504, Surrey, BC V4N 6T3","C$499,900",1,bd,1,ba,718,sqft,https://www.zillow.com/homedetails/9983-Barnston-Dr-E-504-Surrey-BC-V4N-6T3/2069480988_zpid/
"13880 101st Ave #802, Surrey, BC V3T 5T1","C$519,900",2,bds,2,ba,"1,071",sqft,https://www.zillow.com/homedetails/13880-101st-Ave-802-Surrey-BC-V3T-5T1/2076414460_zpid/
"13438 Central Ave #908, Surrey, BC V3T 0N2","C$388,000",1,bd,1,ba,448,sqft,https://www.zillow.com/homedetails/13438-Central-Ave-908-Surrey-BC-V3T-0N2/2068532206_zpid/
"13303 Central Ave #1402, Surrey, BC V3T 0K6","C$499,800",2,bds,1,ba,688,sqft,https://www.zillow.com/homedetails/13303-Central-Ave-1402-Surrey-BC-V3T-0K6/2068473572_zpid/
"13615 Fraser Hwy #2111, Surrey, BC V3T 2V6","C$489,800",1,bd,1,ba,517,sqft,https://www.zillow.com/homedetails/13615-Fraser-Hwy-2111-Surrey-BC-V3T-2V6/2068402634_zpid/
"13398 104th Ave #2508, Surrey, BC V3T 1V6","C$564,999",2,bds,2,ba,685,sqft,https://www.zillow.com/homedetails/13398-104th-Ave-2508-Surrey-BC-V3T-1V6/2069208721_zpid/
